PlntID||Planet||Name__||N_surf||yrAngS||OrbRad||plnRad||L_ColR||L_ColB||L_ColG||S_ColR||S_ColG||S_ColB||S_levl||
000001||Mercury_______||1.4000||0.2000||0.3870||0.3750||0.7600||0.7400||0.7300||0.5100||0.4900||0.4900||0.0000||
000002||Venus_________||1.4000||0.5000||0.7230||0.9583||0.8700||0.8000||0.6400||0.6000||0.4800||0.4000||0.0000||
000003||Earth_________||1.4000||0.2000||1.0000||1.0000||0.1500||0.5000||0.0000||0.0000||0.0000||1.0000||0.5000||
000004||Mars__________||1.4000||0.2000||1.5240||0.5416||1.0000||0.5400||0.3800||0.6000||0.3200||0.2700||0.0000||
000005||Jupiter_______||1.4000||0.2000||5.2030||11.250||0.7800||0.7800||0.7800||0.5100||0.3000||0.1400||0.0000||
000006||Saturn________||1.4000||0.2000||9.5550||9.5000||0.8000||0.7100||0.5400||0.9600||0.8700||0.7450||0.0000||
000007||Uranus________||1.4000||0.2000||19.218||4.0000||0.6600||0.8000||0.8500||0.7900||0.8600||0.8900||0.0000||
000008||Neptune_______||1.4000||0.2000||30.110||4.0000||0.6600||0.8000||0.8500||0.7900||0.8600||0.8900||0.0000||
000009||Neptune_______||1.4000||0.2000||30.110||4.0000||0.5000||0.3000||0.2000||0.0000||0.0000||1.0000||0.0000||
000010||Neptune_______||1.4000||0.2000||30.110||4.0000||0.5000||0.3000||0.2000||0.0000||0.0000||1.0000||0.0000||
